	act	scene	char_from	char_to	sentence
0	1	1	BARNARDO	FRANCISCO	Who’s there?
1	1	1	FRANCISCO	BARNARDO	Nay, answer me. Stand and unfold yourself.
2	1	1	BARNARDO	FRANCISCO	Long live the King!
3	1	1	FRANCISCO	BARNARDO	Barnardo?
4	1	1	BARNARDO	FRANCISCO	He.
5	1	1	FRANCISCO	BARNARDO	You come most carefully upon your hour.
6	1	1	BARNARDO	FRANCISCO	’Tis now struck twelve. Get thee to bed, Francisco.
7	1	1	FRANCISCO	BARNARDO	For this relief much thanks. ’Tis bitter cold, And I am sick at heart.
8	1	1	BARNARDO	FRANCISCO	Have you had quiet guard?
9	1	1	FRANCISCO	BARNARDO	Not a mouse stirring.
10	1	1	BARNARDO	FRANCISCO	Well, good night. If you do meet Horatio and Marcellus, The rivals of my watch, bid them make haste. Enter Horatio and Marcellus.
11	1	1	FRANCISCO	BARNARDO	I think I hear them. Stand, ho! Who is there?
12	1	1	HORATIO	FRANCISCO	Friends to this ground.
13	1	1	MARCELLUS	HORATIO	And liegemen to the Dane.
14	1	1	FRANCISCO	MARCELLUS	Give you good night.
15	1	1	MARCELLUS	FRANCISCO	O, farewell, honest soldier, who hath reliev’d you?
16	1	1	FRANCISCO	MARCELLUS	Barnardo has my place. Give you good-night.
17	1	1	MARCELLUS	FRANCISCO	Holla, Barnardo!
18	1	1	BARNARDO	MARCELLUS	Say, what, is Horatio there?
19	1	1	HORATIO	BARNARDO	A piece of him.
20	1	1	BARNARDO	HORATIO	Welcome, Horatio. Welcome, good Marcellus.
21	1	1	MARCELLUS	BARNARDO	What, has this thing appear’d again tonight?
22	1	1	BARNARDO	MARCELLUS	I have seen nothing.
23	1	1	MARCELLUS	BARNARDO	Horatio says ’tis but our fantasy, And will not let belief take hold of him Touching this dreaded sight, twice seen of us. Therefore I have entreated him along With us to watch the minutes of this night, That if again this apparition come He may approve our eyes and speak to it.
24	1	1	HORATIO	MARCELLUS	Tush, tush, ’twill not appear.
25	1	1	BARNARDO	HORATIO	Sit down awhile, And let us once again assail your ears, That are so fortified against our story, What we two nights have seen.
26	1	1	HORATIO	BARNARDO	Well, sit we down, And let us hear Barnardo speak of this.
27	1	1	BARNARDO	HORATIO	Last night of all, When yond same star that’s westward from the pole, Had made his course t’illume that part of heaven Where now it burns, Marcellus and myself, The bell then beating one—
28	1	1	MARCELLUS	BARNARDO	Peace, break thee off. Look where it comes again. Enter Ghost.
29	1	1	BARNARDO	MARCELLUS	In the same figure, like the King that’s dead.
30	1	1	MARCELLUS	BARNARDO	Thou art a scholar; speak to it, Horatio.
