Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
INTJ.txt,1,1391732,36.90,41.98,62.57,60.98,11.83,16.53,86.11,54.33,17.48,11.29,7.09,0.47,2.20,0.78,0.76,6.17,5.63,11.78,10.05,6.17,6.59,2.32,17.74,4.91,2.67,1.84,1.73,2.54,6.39,4.06,2.21,0.35,0.73,0.37,9.34,0.29,0.40,0.56,0.77,15.76,3.66,1.95,1.94,4.17,1.86,4.40,2.61,1.03,0.78,0.58,1.50,0.48,0.44,0.14,0.33,6.14,1.88,1.35,1.75,1.26,0.53,2.86,12.85,1.04,10.49,1.27,5.21,4.01,1.79,1.07,0.19,0.30,0.24,0.14,1.74,0.23,0.76,0.41,0.33,0.05,27.19,13.58,4.14,0.82,0.09,0.84,0.41,1.03,0.01,3.51,0.95,1.80
ENTJ.txt,1,299456,36.60,47.79,57.57,63.50,11.28,16.33,86.00,54.30,17.70,11.59,6.85,0.51,2.57,0.92,0.73,6.10,5.65,11.66,10.11,6.08,6.50,2.20,17.85,5.00,2.69,1.90,1.71,2.50,6.65,4.26,2.27,0.33,0.78,0.36,9.93,0.24,0.45,0.56,0.97,15.46,3.68,1.99,1.88,3.98,1.86,4.21,2.53,0.96,0.74,0.60,1.47,0.45,0.46,0.15,0.30,6.49,1.88,1.45,1.93,1.40,0.54,2.81,13.06,1.04,10.20,1.27,5.16,3.79,1.94,0.89,0.16,0.35,0.19,0.10,1.93,0.30,0.83,0.44,0.34,0.04,26.94,13.67,3.94,0.75,0.10,0.93,0.64,0.93,0.01,3.49,0.84,1.64
ESTJ.txt,1,51063,30.64,45.88,58.39,69.86,12.13,14.85,86.53,55.39,18.63,12.47,7.66,0.66,2.45,0.93,0.77,6.15,5.26,11.41,10.39,6.04,6.90,2.29,18.39,4.89,2.55,1.85,1.58,2.33,6.67,4.47,2.12,0.30,0.65,0.41,10.23,0.39,0.56,0.62,1.03,15.49,3.49,2.01,2.07,3.96,1.94,4.28,2.52,0.93,0.81,0.57,1.50,0.43,0.48,0.12,0.31,6.59,2.36,1.41,1.80,1.29,0.51,2.74,13.30,1.15,9.85,1.19,4.85,3.86,1.76,1.09,0.20,0.38,0.17,0.10,2.05,0.14,1.07,0.42,0.37,0.05,25.71,13.06,4.13,0.69,0.08,0.80,0.63,0.87,0.00,3.25,0.67,1.53
ISTJ.txt,1,265124,35.45,40.80,66.55,64.83,11.95,15.42,86.55,54.72,17.91,11.88,7.62,0.55,2.11,0.96,0.64,6.02,5.51,11.96,10.14,6.24,6.59,2.31,18.18,4.91,2.67,1.84,1.86,2.50,6.33,4.13,2.07,0.34,0.61,0.39,9.44,0.31,0.50,0.66,0.87,14.94,3.31,1.78,1.88,4.06,1.73,4.33,2.77,1.08,0.84,0.61,1.42,0.45,0.41,0.09,0.34,6.43,2.15,1.34,1.71,1.32,0.52,3.15,13.00,1.05,11.15,1.37,5.33,4.49,1.84,1.17,0.22,0.36,0.17,0.10,1.72,0.17,0.79,0.43,0.33,0.05,27.43,13.49,3.84,1.07,0.08,0.83,0.62,0.94,0.00,3.71,1.01,1.84
ESFJ.txt,1,56919,30.84,43.62,66.66,80.50,12.08,14.93,87.10,55.41,18.80,12.67,8.06,0.78,1.96,1.05,0.81,6.12,5.34,11.69,10.21,6.47,7.02,2.04,18.63,5.11,2.69,1.73,1.63,2.74,7.19,5.04,2.02,0.35,0.51,0.41,10.31,0.33,0.53,0.68,1.00,16.26,3.90,1.87,1.87,4.38,1.86,4.47,2.65,0.90,0.76,0.75,1.38,0.29,0.43,0.08,0.29,6.61,2.64,1.18,1.57,1.46,0.48,2.86,13.45,0.96,10.08,1.13,4.97,4.02,1.42,0.90,0.17,0.18,0.16,0.07,1.74,0.09,0.82,0.44,0.31,0.04,25.30,12.31,3.72,0.77,0.08,0.65,0.85,0.85,0.00,3.89,1.10,1.07
ISFJ.txt,1,219801,31.45,37.33,70.57,75.47,11.84,15.09,86.85,54.92,18.54,12.45,8.37,0.49,2.03,0.90,0.66,6.08,5.18,11.78,10.15,6.51,6.89,2.14,18.17,4.99,2.67,1.73,1.70,2.57,7.04,4.80,2.13,0.46,0.53,0.41,9.38,0.40,0.51,0.64,0.90,15.78,3.59,1.75,1.87,4.26,1.88,4.48,2.83,1.02,0.84,0.73,1.42,0.40,0.42,0.08,0.31,6.27,2.20,1.22,1.61,1.35,0.50,2.85,13.34,1.01,10.57,1.27,5.22,4.12,1.48,1.14,0.22,0.28,0.18,0.06,2.04,0.13,1.06,0.48,0.37,0.04,27.69,13.50,4.07,0.81,0.07,0.76,0.79,1.08,0.01,3.89,0.90,1.82
INFJ.txt,1,2000276,33.35,41.50,69.42,68.79,12.08,15.59,87.04,55.00,18.39,12.13,7.87,0.51,2.20,0.85,0.70,6.25,5.39,11.80,10.02,6.45,6.74,2.11,18.15,4.92,2.62,1.83,1.62,2.50,6.79,4.47,2.19,0.42,0.58,0.45,9.57,0.30,0.48,0.58,0.84,15.59,3.75,1.82,1.82,4.09,1.86,4.28,2.97,1.10,0.84,0.77,1.61,0.48,0.51,0.12,0.31,6.12,2.09,1.21,1.63,1.27,0.52,3.03,13.10,1.02,10.82,1.30,5.30,4.25,1.44,1.07,0.20,0.23,0.24,0.10,1.90,0.17,0.92,0.45,0.35,0.04,27.32,13.71,4.11,0.80,0.09,0.77,0.67,0.94,0.01,3.64,0.90,1.69
ENFJ.txt,1,259433,29.80,46.25,65.11,80.78,11.71,14.96,88.06,55.76,19.18,12.88,8.06,0.67,2.30,1.10,0.76,6.29,5.18,11.75,10.20,6.54,6.90,2.02,18.53,5.01,2.65,1.86,1.45,2.49,7.53,5.21,2.17,0.41,0.59,0.45,10.58,0.30,0.60,0.67,1.05,15.65,3.70,1.87,1.90,4.07,1.88,4.22,2.82,0.95,0.83,0.80,1.57,0.44,0.42,0.13,0.32,6.69,2.57,1.25,1.64,1.37,0.49,2.92,13.55,1.06,10.35,1.30,5.08,4.02,1.40,0.97,0.16,0.21,0.17,0.09,2.29,0.19,1.19,0.51,0.40,0.05,27.62,14.01,4.11,0.79,0.07,0.78,1.01,0.76,0.01,3.55,0.79,1.73
ENFP.txt,1,902566,30.32,42.60,67.01,78.56,11.76,14.72,87.28,55.14,18.69,12.53,8.08,0.56,2.25,1.01,0.63,6.14,5.27,11.47,10.10,6.67,6.96,2.03,18.24,5.01,2.61,1.79,1.58,2.54,7.37,5.06,2.18,0.39,0.61,0.42,9.90,0.30,0.59,0.61,1.05,15.34,3.55,1.77,1.81,4.00,1.93,4.25,2.85,1.00,0.87,0.73,1.68,0.49,0.46,0.13,0.32,6.27,2.33,1.17,1.57,1.34,0.45,3.01,13.19,0.98,10.59,1.32,5.15,4.16,1.38,1.10,0.18,0.23,0.19,0.08,2.38,0.21,1.19,0.55,0.42,0.06,27.96,13.52,4.01,1.05,0.08,0.85,1.27,0.86,0.01,3.69,0.89,1.71
INFP.txt,1,2435120,33.10,37.35,71.47,67.97,12.23,15.46,87.12,54.66,18.27,12.15,8.23,0.48,1.99,0.78,0.67,6.11,5.35,11.67,9.93,6.53,6.80,2.11,18.05,5.00,2.63,1.76,1.65,2.54,6.98,4.55,2.31,0.44,0.61,0.49,9.12,0.31,0.47,0.57,0.81,15.44,3.61,1.73,1.82,4.05,1.87,4.29,3.03,1.13,0.86,0.80,1.75,0.50,0.54,0.14,0.34,6.12,2.04,1.21,1.65,1.30,0.50,3.08,13.00,0.98,10.88,1.28,5.31,4.33,1.52,1.29,0.21,0.26,0.23,0.12,1.98,0.20,0.98,0.44,0.35,0.05,27.27,13.45,4.12,0.82,0.08,0.76,0.70,0.93,0.01,3.71,0.87,1.83
ISFP.txt,1,333011,32.11,37.29,68.12,74.75,12.04,15.23,85.50,53.56,18.15,12.18,8.14,0.48,1.98,0.89,0.69,5.96,5.08,11.22,9.79,6.50,6.74,2.12,17.75,4.97,2.63,1.70,1.75,2.46,6.98,4.75,2.12,0.43,0.59,0.39,9.16,0.33,0.47,0.58,0.89,15.32,3.51,1.73,1.70,4.20,1.75,4.42,3.14,1.21,0.94,0.75,1.54,0.42,0.44,0.11,0.35,6.02,2.07,1.18,1.56,1.32,0.47,2.94,13.01,0.96,10.35,1.22,4.99,4.18,1.46,1.42,0.22,0.25,0.18,0.09,2.16,0.18,1.16,0.47,0.34,0.05,28.32,13.46,3.93,1.02,0.08,0.88,0.85,0.90,0.01,3.89,0.95,2.35
ESFP.txt,1,52765,32.68,41.88,60.50,72.56,11.74,14.89,85.08,53.59,18.04,11.97,7.60,0.36,2.23,1.13,0.64,6.06,5.21,11.26,10.00,6.33,6.76,2.14,18.17,4.94,2.62,1.81,1.90,2.42,6.92,4.66,2.16,0.32,0.75,0.34,9.75,0.25,0.48,0.67,1.13,15.32,3.71,1.72,1.88,4.00,1.79,4.36,2.88,1.03,0.93,0.63,1.52,0.46,0.41,0.20,0.31,5.72,1.88,1.07,1.53,1.37,0.42,2.97,13.06,0.99,9.94,1.24,4.95,3.79,1.52,1.08,0.18,0.29,0.20,0.11,2.43,0.29,1.22,0.47,0.42,0.09,28.49,13.27,3.98,1.23,0.14,1.08,1.00,1.12,0.00,3.94,0.91,1.83
ISTP.txt,1,422627,35.88,37.54,66.76,58.10,11.63,15.43,86.08,54.03,17.60,11.46,7.44,0.43,2.10,0.79,0.70,6.13,5.51,11.74,9.89,6.37,6.61,2.35,17.95,4.91,2.65,1.79,1.79,2.53,6.43,4.00,2.29,0.36,0.85,0.34,8.89,0.26,0.43,0.52,0.78,15.27,3.27,1.82,1.92,4.26,1.77,4.41,2.70,1.07,0.81,0.61,1.71,0.58,0.46,0.20,0.38,6.11,1.78,1.30,1.70,1.40,0.52,2.97,12.97,1.07,11.18,1.46,5.42,4.38,1.71,1.34,0.20,0.30,0.20,0.12,2.19,0.40,0.96,0.47,0.34,0.06,27.27,13.65,4.17,0.66,0.08,0.88,0.37,0.87,0.00,3.82,0.78,1.98
ESTP.txt,1,110612,32.49,42.43,61.31,67.32,11.84,14.59,85.80,54.22,17.98,11.96,7.37,0.50,2.32,1.05,0.71,6.02,5.23,11.38,10.16,6.28,6.72,2.33,18.36,4.81,2.60,1.84,1.68,2.41,6.78,4.43,2.24,0.33,0.80,0.36,9.89,0.31,0.54,0.72,1.05,15.25,3.30,1.80,1.84,4.23,1.80,4.48,2.72,1.07,0.81,0.57,1.68,0.56,0.48,0.20,0.35,6.29,1.97,1.25,1.68,1.55,0.49,2.99,13.33,0.99,10.46,1.44,5.29,3.80,1.59,1.27,0.18,0.27,0.21,0.08,2.44,0.44,1.09,0.51,0.38,0.08,26.65,13.16,3.75,1.01,0.06,0.99,0.64,0.87,0.00,3.55,0.77,1.85
