Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
PRIEST.txt,1,92,46.46,88.40,1.00,66.89,15.33,18.48,81.52,54.35,11.96,10.87,0.00,2.17,0.00,8.70,0.00,1.09,5.43,13.04,13.04,3.26,10.87,1.09,16.30,6.52,4.35,0.00,0.00,1.09,4.35,3.26,1.09,1.09,0.00,0.00,11.96,0.00,0.00,9.78,0.00,6.52,0.00,1.09,3.26,1.09,0.00,1.09,1.09,0.00,1.09,0.00,1.09,0.00,0.00,1.09,0.00,7.61,2.17,0.00,3.26,1.09,1.09,4.35,7.61,1.09,10.87,2.17,4.35,3.26,1.09,1.09,1.09,1.09,3.26,3.26,1.09,0.00,1.09,0.00,0.00,0.00,18.48,6.52,6.52,0.00,1.09,0.00,0.00,1.09,0.00,3.26,0.00,0.00
LORD.txt,1,67,76.36,99.00,15.56,99.00,16.75,10.45,91.04,55.22,22.39,17.91,1.49,0.00,8.96,7.46,0.00,4.48,4.48,17.91,2.99,1.49,5.97,0.00,11.94,5.97,2.99,1.49,0.00,2.99,8.96,8.96,0.00,0.00,0.00,0.00,23.88,0.00,0.00,2.99,8.96,10.45,1.49,1.49,2.99,4.48,1.49,2.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.45,0.00,2.99,7.46,2.99,0.00,0.00,10.45,2.99,19.40,7.46,7.46,5.97,0.00,4.48,0.00,0.00,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.96,5.97,2.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALL.txt,1,5,51.43,99.00,1.00,99.00,5.00,0.00,100.00,60.00,40.00,40.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DANES.txt,1,8,1.00,99.00,7.84,25.77,4.00,0.00,100.00,87.50,37.50,37.50,0.00,25.00,0.00,12.50,0.00,0.00,0.00,12.50,37.50,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,12.50,25.00,25.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,25.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FIRST AMBASSADOR.txt,1,40,11.24,99.00,1.00,72.57,13.33,20.00,90.00,57.50,20.00,15.00,0.00,10.00,0.00,5.00,0.00,5.00,5.00,5.00,17.50,5.00,5.00,0.00,27.50,2.50,0.00,2.50,0.00,0.00,2.50,2.50,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,7.50,2.50,5.00,0.00,2.50,2.50,0.00,0.00,0.00,17.50,12.50,2.50,2.50,2.50,0.00,0.00,22.50,0.00,7.50,2.50,2.50,2.50,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,17.50,5.00,5.00,0.00,2.50,2.50,0.00,0.00,0.00,2.50,0.00,0.00
SECOND CLOWN.txt,1,105,30.55,74.76,10.08,61.90,7.50,16.19,85.71,56.19,16.19,11.43,2.86,0.00,2.86,5.71,0.00,4.76,9.52,5.71,11.43,4.76,7.62,2.86,20.00,2.86,1.90,2.86,0.95,0.95,3.81,2.86,0.95,0.00,0.00,0.95,16.19,0.95,0.00,4.76,2.86,15.24,1.90,4.76,1.90,1.90,0.95,6.67,0.95,0.00,0.95,0.00,0.00,0.00,0.00,0.00,0.00,3.81,0.95,0.00,2.86,0.00,0.00,6.67,12.38,0.95,9.52,1.90,5.71,1.90,0.95,0.00,0.95,0.00,1.90,3.81,1.90,0.00,1.90,0.00,0.00,0.00,31.43,9.52,12.38,0.00,0.95,3.81,0.00,0.95,0.00,3.81,0.00,0.00
FIRST CLOWN.txt,1,739,33.35,76.75,5.19,16.14,11.37,9.47,84.71,56.70,18.40,12.72,3.11,0.27,2.98,5.82,0.54,5.68,6.90,9.61,9.34,6.09,6.36,2.84,14.21,3.79,2.17,1.76,1.35,1.62,6.09,2.71,3.38,0.14,1.35,0.81,15.29,0.14,0.41,1.49,6.77,9.07,0.81,2.03,1.35,2.03,0.81,4.87,1.08,0.14,0.68,0.00,3.52,1.35,0.54,0.41,0.95,5.55,1.35,0.54,2.30,1.08,0.41,2.98,9.61,1.35,9.61,1.62,2.98,5.01,0.54,0.41,0.27,0.14,1.62,2.03,1.76,0.41,0.68,0.00,0.68,0.00,26.52,7.44,10.15,0.54,1.76,1.22,0.14,0.68,0.14,4.19,0.00,0.27
GHOST.txt,1,42,54.14,92.33,2.82,25.77,4.20,21.43,78.57,42.86,14.29,11.90,0.00,0.00,4.76,7.14,0.00,2.38,0.00,11.90,4.76,2.38,7.14,2.38,16.67,4.76,4.76,0.00,0.00,0.00,9.52,4.76,4.76,0.00,2.38,0.00,19.05,2.38,0.00,9.52,0.00,11.90,0.00,2.38,0.00,2.38,0.00,7.14,4.76,2.38,2.38,0.00,4.76,2.38,2.38,0.00,0.00,9.52,0.00,4.76,4.76,0.00,0.00,0.00,16.67,0.00,9.52,2.38,7.14,0.00,2.38,0.00,0.00,0.00,2.38,0.00,2.38,0.00,2.38,0.00,0.00,0.00,28.57,23.81,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CAPTAIN.txt,1,84,67.14,40.60,17.86,70.57,10.50,5.95,80.95,53.57,14.29,7.14,3.57,1.19,1.19,0.00,1.19,7.14,5.95,14.29,8.33,2.38,4.76,4.76,11.90,0.00,0.00,0.00,2.38,2.38,2.38,2.38,0.00,0.00,0.00,0.00,9.52,1.19,0.00,0.00,3.57,10.71,0.00,0.00,2.38,2.38,1.19,5.95,1.19,0.00,1.19,0.00,0.00,0.00,0.00,0.00,0.00,9.52,1.19,1.19,4.76,2.38,1.19,2.38,5.95,2.38,8.33,1.19,4.76,2.38,2.38,0.00,0.00,4.76,2.38,0.00,2.38,0.00,1.19,1.19,0.00,0.00,27.38,9.52,11.90,0.00,1.19,0.00,0.00,0.00,0.00,4.76,0.00,0.00
FRANCISCO.txt,1,55,26.98,92.70,91.12,87.86,4.23,9.09,83.64,43.64,23.64,20.00,9.09,0.00,9.09,0.00,1.82,3.64,1.82,5.45,5.45,1.82,3.64,1.82,18.18,7.27,1.82,1.82,0.00,3.64,10.91,7.27,3.64,0.00,1.82,0.00,18.18,0.00,0.00,0.00,0.00,7.27,3.64,0.00,0.00,1.82,0.00,1.82,5.45,0.00,1.82,1.82,3.64,1.82,1.82,0.00,0.00,5.45,0.00,0.00,0.00,3.64,1.82,0.00,16.36,0.00,14.55,3.64,5.45,5.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.73,18.18,5.45,0.00,0.00,3.64,1.82,1.82,0.00,1.82,0.00,0.00
