,0|51.73%,1|23.37%,2|15.77%,3|5.29%,4|2.33%,5|1.51%
PRINCE,-2.7919499994288217,0.46425448265124747,1.5912158409928028,0.8477172868910094,-0.23723568823525698,0.21904455609268542
PARIS,-0.6518602642039047,0.6875445111870164,1.8195615735122617,-1.0899972740867794,0.24988356664828562,-0.2929488853502156
FRIAR LAWRENCE,-0.8365770734072508,-0.7722731155786906,-0.5471644177553269,0.9940077577988703,0.32881636144687654,-0.4388801047915259
MERCUTIO,-3.0307137003075324,-0.9029733247669691,-1.700211490930233,-0.5159587860519351,-0.08823218488850948,0.2543480729900553
JULIET,2.5970842896358337,-2.0858797677238248,0.8986428695949907,0.25061506437019515,-0.4517112462452678,0.13740059933390483
NURSE,2.5487261058388104,1.6303309882329358,-0.7941192718704816,-0.0015794908721531455,-0.5397928635161419,-0.07815396573747534
CAPULET,1.6865766185620137,0.2436616146412665,-0.4004113995042735,0.22397190512059562,0.7127542004063864,-0.1945981780910207
ROMEO,0.9907347935481889,-1.565314000690536,-0.014792495524413526,-0.5130330808925951,0.3190373159595038,0.3640940733587331
LADY CAPULET,0.40684270416849644,2.170478005408377,-0.2906509040174904,0.17193014146424263,0.20308332535397222,0.4989187198443659
BENVOLIO,-0.9188634744058172,0.13017060663918725,-0.5620703044978146,-0.3676735237414291,-0.49660278692985804,-0.4692248876494752
